Name, Date, Description, IsHoliday, IsWorkday
元旦, 2018-01-01, , 1, 0
春节假期补班, 2018-02-11, , 0, 1
春节假期, 2018-02-15, , 1, 0
春节假期, 2018-02-16, , 1, 0
春节假期, 2018-02-17, , 1, 0
春节假期, 2018-02-18, , 1, 0
春节假期, 2018-02-19, , 1, 0
春节假期, 2018-02-20, , 1, 0
春节假期, 2018-02-21, , 1, 0
春节假期补班, 2018-02-24, , 0, 1
清明节, 2018-04-05, , 1, 0
清明假期, 2018-04-06, , 1, 0
清明假期, 2018-04-07, , 1, 0
清明节补班, 2018-04-08, , 0, 1
劳动节补班, 2018-04-28, , 0, 1
劳动节假期, 2018-04-29, , 1, 0
劳动节假期, 2018-04-30, , 1, 0
劳动节, 2018-05-01, , 1, 0
端午假期, 2018-06-16, , 1, 0
端午假期, 2018-06-17, , 1, 0
端午节, 2018-06-18, , 1, 0
中秋假期, 2018-09-22, , 1, 0
中秋假期, 2018-09-23, , 1, 0
中秋节, 2018-09-24, , 1, 0
国庆假期补班, 2018-09-29, , 0, 1
国庆假期补班, 2018-09-30, , 0, 1
国庆节, 2018-10-01, , 1, 0
国庆假期, 2018-10-02, , 1, 0
国庆假期, 2018-10-03, , 1, 0
国庆假期, 2018-10-04, , 1, 0
国庆假期, 2018-10-05, , 1, 0
国庆假期, 2018-10-06, , 1, 0
国庆假期, 2018-10-07, , 1, 0
2019元旦假期补班, 2018-12-29, , 0, 1
2019元旦假期, 2018-12-30, , 1, 0
